154,1030,Ⅰ-86,曹雪芹传说,民间文学,"2011
(第三批)",新增项目,北京市海淀区,北京市植物园
155,1031,Ⅰ-87,契丹始祖传说,民间文学,"2011
(第三批)",新增项目,河北省平泉县,平泉市文化馆
156,1032,Ⅰ-88,赵氏孤儿传说,民间文学,"2011
(第三批)",新增项目,山西省盂县,盂县人民文化馆
157,1033,Ⅰ-89,白马拖缰传说,民间文学,"2011
(第三批)",新增项目,山西省晋城市城区,晋城市城区文化馆
158,1034,Ⅰ-90,舜的传说,民间文学,"2011
(第三批)",新增项目,山西省沁水县,沁水县人民文化馆
159,1034,Ⅰ-90,舜的传说,民间文学,"2011
(第三批)",新增项目,山东省诸城市,诸城市文化馆
160,1035,Ⅰ-91,禹的传说,民间文学,"2011
(第三批)",新增项目,四川省汶川县,汶川县文化馆
161,1035,Ⅰ-91,禹的传说,民间文学,"2011
(第三批)",新增项目,四川省北川羌族自治县,北川羌族自治县文化馆
162,1035,Ⅰ-91,禹的传说（武汉大禹治水传说）,民间文学,"2021
(第五批)",扩展项目,湖北省武汉市汉阳区,武汉市晴川阁管理处（武汉大禹文化博物馆）
163,1036,Ⅰ-92,防风传说,民间文学,"2011
(第三批)",新增项目,浙江省德清县,德清县文化馆
164,1037,Ⅰ-93,盘瓠传说,民间文学,"2011
(第三批)",新增项目,湖南省泸溪县,泸溪县非物质文化遗产保护中心
165,1038,Ⅰ-94,庄子传说,民间文学,"2011
(第三批)",新增项目,山东省东明县,山东省东明县文化馆
166,1039,Ⅰ-95,柳毅传说,民间文学,"2011
(第三批)",新增项目,山东省潍坊市寒亭区,潍坊市寒亭区文化馆
167,1040,Ⅰ-96,禅宗祖师传说,民间文学,"2011
(第三批)",新增项目,湖北省黄梅县,黄梅县文化馆
168,1040,Ⅰ-96,禅宗祖师传说（六祖传说）,民间文学,"2021
(第五批)",扩展项目,广东省云浮市新兴县,新兴县文化馆
169,1041,Ⅰ-97,布袋和尚传说,民间文学,"2011
(第三批)",新增项目,浙江省奉化市,宁波市奉化区弥勒文化研究会
170,1042,Ⅰ-98,钱王传说,民间文学,"2011
(第三批)",新增项目,浙江省临安市,杭州市临安区文化馆（杭州市临安区非物质文化遗产保护中心）
171,1043,Ⅰ-99,苏东坡传说,民间文学,"2011
(第三批)",新增项目,浙江省杭州市,杭州名人纪念馆
172,1043,Ⅰ-99,苏东坡传说,民间文学,"2014
(第四批)",扩展项目,湖北省黄冈市,黄冈市群众艺术馆（黄冈市民俗博物馆）
173,1044,Ⅰ-100,王羲之传说,民间文学,"2011
(第三批)",新增项目,浙江省绍兴市,绍兴市文化馆、绍兴市非物质文化遗产保护中心
174,1045,Ⅰ-101,李时珍传说,民间文学,"2011
(第三批)",新增项目,湖北省蕲春县,蕲春县文化馆
175,1046,Ⅰ-102,蔡伦造纸传说,民间文学,"2011
(第三批)",新增项目,陕西省汉中市,汉中市民间文艺家协会
176,1047,Ⅰ-103,牡丹传说,民间文学,"2011
(第三批)",新增项目,山东省菏泽市牡丹区,菏泽市牡丹区文化馆
177,1048,Ⅰ-104,泰山传说,民间文学,"2011
(第三批)",新增项目,山东省泰安市,泰安市泰山景区教育中心
178,1049,Ⅰ-105,黄鹤楼传说,民间文学,"2011
(第三批)",新增项目,湖北省武汉市武昌区,武汉市黄鹤楼公园管理处
179,1050,Ⅰ-106,烂柯山的传说,民间文学,"2011
(第三批)",新增项目,山西省陵川县,陵川县人民文化馆
180,1050,Ⅰ-106,烂柯山的传说,民间文学,"2011
(第三批)",新增项目,浙江省衢州市,衢州市文化馆（衢州市非物质文化遗产保护中心）
181,1051,Ⅰ-107,珞巴族始祖传说,民间文学,"2011
(第三批)",新增项目,西藏自治区米林县,西藏林芝市米林县文化和旅游局
182,1052,Ⅰ-108,阿尼玛卿雪山传说,民间文学,"2011
(第三批)",新增项目,青海省果洛藏族自治州,果洛藏族自治州群众艺术馆
183,1053,Ⅰ-109,锡伯族民间故事,民间文学,"2011
(第三批)",新增项目,辽宁省沈阳市,沈阳市于洪区文化馆
184,1054,Ⅰ-110,嘉黎民间故事,民间文学,"2011
(第三批)",新增项目,西藏自治区嘉黎县,西藏那曲市嘉黎县文化和旅游局
185,1055,Ⅰ-111,海洋动物故事,民间文学,"2011
(第三批)",新增项目,浙江省洞头县,温州市洞头区民间文艺工作者协会
186,1056,Ⅰ-112,土家族哭嫁歌,民间文学,"2011
(第三批)",新增项目,湖南省永顺县,永顺县非物质文化遗产保护中心
187,1056,Ⅰ-112,土家族哭嫁歌,民间文学,"2011
(第三批)",新增项目,湖南省古丈县,古丈县非物质文化遗产保护中心
188,1057,Ⅰ-113,坡芽情歌,民间文学,"2011
(第三批)",新增项目,云南省富宁县,富宁县文化馆
189,1058,Ⅰ-114,祝赞词,民间文学,"2011
(第三批)",新增项目,内蒙古自治区东乌珠穆沁旗,东乌珠穆沁旗文化馆
190,1058,Ⅰ-114,祝赞词,民间文学,"2011
(第三批)",新增项目,新疆维吾尔自治区博湖县,博湖县非物质文化遗产保护中心
191,1058,Ⅰ-114,祝赞词,民间文学,"2011
(第三批)",新增项目,新疆维吾尔自治区和布克赛尔蒙古自治县,和布克赛尔蒙古自治县非物质文化遗产保护中心
192,1058,Ⅰ-114,祝赞词（肃北蒙古族祝赞词）,民间文学,"2021
(第五批)",扩展项目,甘肃省酒泉市肃北蒙古族自治县,肃北蒙古族自治县文化馆
193,1059,Ⅰ-115,黑暗传,民间文学,"2011
(第三批)",新增项目,湖北省保康县,保康县文化馆
194,1059,Ⅰ-115,黑暗传,民间文学,"2011
(第三批)",新增项目,湖北省神农架林区,神农架林区群众艺术馆
195,1060,Ⅰ-116,陶克陶胡,民间文学,"2011
(第三批)",新增项目,吉林省前郭尔罗斯蒙古族自治县,前郭尔罗斯蒙古族自治县文化工作总站（前郭县非物质文化遗产保护中心）
196,1061,Ⅰ-117,密洛陀,民间文学,"2011
(第三批)",新增项目,广西壮族自治区都安瑶族自治县,都安瑶族自治县文化馆
197,1062,Ⅰ-118,亚鲁王,民间文学,"2011
(第三批)",新增项目,贵州省紫云苗族布依族自治县,紫云苗族布依族自治县亚鲁王文化研究中心
198,1063,Ⅰ-119,目瑙斋瓦,民间文学,"2011
(第三批)",新增项目,云南省德宏傣族景颇族自治州,德宏州文化馆
199,1064,Ⅰ-120,洛奇洛耶与扎斯扎依,民间文学,"2011
(第三批)",新增项目,云南省墨江哈尼族自治县,墨江哈尼族自治县文化馆
200,1065,Ⅰ-121,阿细先基,民间文学,"2011
(第三批)",新增项目,云南省弥勒县,弥勒市文化馆
201,1066,Ⅰ-122,羌戈大战,民间文学,"2011
(第三批)",新增项目,四川省汶川县,汶川县文化馆
